unit_id,faction,unit_name,advertised_role,description
U000,Latian Republic,Golden Lancers,Cavalry,Commanders value them for drive deep and devastating impact. On the field they rely on shatter the formation and overrun. They are well regarded by commanders. These troops are drilled in the republican legions.
U001,Latian Republic,Old Cutters,Siege,Commanders value them for cut through the line and swordsmen. These troops are citizen-soldiers of the Latian state. On the field they rely on flanking maneuvers and duelists. They are the backbone of many campaigns.
U002,Latian Republic,High Swords,Line Infantry,These troops are citizen-soldiers of the Latian state. On the field they rely on aggressive blades and flanking maneuvers. Commanders value them for duelists and quick footwork. They are seasoned veterans.
U003,Latian Republic,Storm Guard,Line Infantry,These troops are drilled in the republican legions. They are a mainstay of the roster. On the field they rely on cut through the line and swordsmen. Commanders value them for quick footwork.
U004,Latian Republic,Free Pikes,Anti-Cavalry,On the field they rely on braced spears and phalanx. Commanders value them for set to receive. They are seasoned veterans. These troops are drilled in the republican legions.
U005,Latian Republic,Red Lances of Foot,Siege,Commanders value them for disciplined block. On the field they rely on anti-cavalry stakes and braced spears. They are seasoned veterans. These troops are drilled in the republican legions.
U006,Latian Republic,Golden Javelins,Siege,These troops are citizen-soldiers of the Latian state. They are seasoned veterans. On the field they rely on nimble and javelins. Commanders value them for dart in and out and screen the advance.
U007,Latian Republic,Free Swords,Line Infantry,They are the backbone of many campaigns. Commanders value them for flanking maneuvers. On the field they rely on press the advantage and close-quarters brawl. These troops are drilled in the republican legions.
U008,Latian Republic,Gray Phalanx,Anti-Cavalry,These troops are citizen-soldiers of the Latian state. On the field they rely on lowered pikes and hedge of steel. They are the backbone of many campaigns. Commanders value them for anti-cavalry stakes.
U009,Latian Republic,Red Marksmen,Missile,These troops are drilled in the republican legions. On the field they rely on quivers emptied and massed volley. They are recruited each season. Commanders value them for ranged fire.
U010,Latian Republic,Golden Engines,Siege,They are fielded in most engagements. On the field they rely on long-range engine and shatter walls. Commanders value them for ranging shots and crew-served. These troops are citizen-soldiers of the Latian state.
U011,Latian Republic,Silent Blades,Line Infantry,Commanders value them for close-quarters brawl. On the field they rely on opportunistic strikes and cut through the line. They are recruited each season. These troops are citizen-soldiers of the Latian state.
U012,Latian Republic,Free Spears,Anti-Cavalry,These troops are drilled in the republican legions. On the field they rely on disciplined block and anti-cavalry stakes. Commanders value them for braced spears. They are a mainstay of the roster.
U013,Latian Republic,Gray Cutters,Line Infantry,On the field they rely on versatile and swordsmen. They are fielded in most engagements. Commanders value them for cut through the line. These troops are citizen-soldiers of the Latian state.
