battle_id,attacker_faction,defender_faction,terrain,weather,att_heavy_infantry,att_spearmen,att_sword_infantry,att_archers,att_skirmishers,att_light_cavalry,att_shock_cavalry,att_artillery,def_heavy_infantry,def_spearmen,def_sword_infantry,def_archers,def_skirmishers,def_light_cavalry,def_shock_cavalry,def_artillery,att_general_rating,def_general_rating,att_avg_morale,def_avg_morale,att_fatigue,def_fortified,att_reinforcement_minute,resolution_mode,current_autoresolver_call,att_casualty_pct,def_casualty_pct,outcome
B0000,Mareth Imperium,Sable Nomads,plains,clear,6,5,0,1,2,0,7,1,5,1,0,3,6,2,1,7,3,1,55,66,10,1,0,auto,defender,0.317,0.759,attacker
B0001,Kessari Riders,Vharn Confederacy,marsh,rain,2,2,5,3,1,16,1,1,0,5,5,13,0,0,0,1,2,3,76,86,16,0,0,auto,attacker,0.364,0.834,attacker
B0002,Vharn Confederacy,Selene Dominion,forest,rain,4,4,2,2,2,0,1,7,3,8,8,5,1,4,0,3,1,3,40,81,79,0,0,auto,defender,0.567,0.342,defender
B0003,Orenthal League,Duskwood Clans,hills,fog,2,0,4,2,0,6,3,4,1,0,3,7,8,1,1,0,5,5,49,51,38,0,25,auto,attacker,0.454,0.679,attacker
B0004,Kessari Riders,Sable Nomads,hills,rain,2,0,3,0,0,16,1,0,0,0,1,2,3,3,0,12,4,5,72,74,10,0,0,auto,attacker,0.184,0.749,attacker
B0005,Duskwood Clans,Vharn Confederacy,hills,fog,4,1,0,2,1,1,6,1,1,13,3,1,1,2,3,0,5,1,67,71,92,0,0,auto,defender,0.567,0.3,defender
B0006,Vharn Confederacy,Selene Dominion,forest,clear,0,10,1,0,7,1,1,4,12,2,0,3,1,6,2,3,3,5,79,53,47,0,14,auto,defender,0.871,0.523,defender
B0007,Latian Republic,Mareth Imperium,plains,clear,0,4,18,1,2,1,0,0,10,4,1,0,2,6,0,3,3,4,67,72,42,1,0,auto,attacker,0.698,0.374,defender
B0008,Sable Nomads,Mareth Imperium,plains,clear,1,0,1,2,5,7,1,3,3,5,0,0,2,1,6,2,1,2,74,66,29,1,0,auto,attacker,0.751,0.454,defender
B0009,Vharn Confederacy,Orenthal League,hills,rain,2,15,0,0,6,5,1,0,1,6,2,0,1,1,3,3,5,2,67,68,13,0,8,auto,attacker,0.433,0.569,attacker
B0010,Mareth Imperium,Sable Nomads,marsh,clear,6,1,4,2,3,4,2,0,1,0,0,2,4,5,1,6,4,1,75,69,74,1,22,auto,attacker,0.373,0.666,attacker
B0011,Latian Republic,Duskwood Clans,marsh,clear,1,9,6,1,2,5,0,1,0,4,0,10,2,3,0,2,4,5,60,67,42,0,0,auto,attacker,0.326,0.886,attacker
B0012,Kessari Riders,Sable Nomads,river_crossing,clear,1,0,0,0,8,5,9,1,6,0,1,3,14,2,0,1,4,3,60,79,26,1,0,auto,defender,0.511,0.69,attacker
B0013,Duskwood Clans,Mareth Imperium,hills,clear,0,2,1,1,4,16,0,1,5,1,1,1,1,0,12,2,4,2,71,73,45,0,0,auto,attacker,0.444,0.796,attacker
B0014,Vharn Confederacy,Selene Dominion,plains,rain,3,7,0,9,0,4,2,0,0,2,0,4,2,3,2,7,3,3,60,57,0,0,0,auto,attacker,0.492,0.731,attacker
B0015,Kessari Riders,Orenthal League,hills,clear,0,0,3,0,7,1,12,0,0,4,7,5,0,2,2,3,2,5,74,74,30,0,0,auto,attacker,0.351,0.697,attacker
B0016,Selene Dominion,Vharn Confederacy,forest,rain,5,0,1,3,0,9,4,6,5,3,1,1,1,4,6,0,5,1,62,52,25,1,0,auto,attacker,0.819,0.506,defender
B0017,Selene Dominion,Mareth Imperium,forest,clear,1,2,3,7,1,1,0,6,1,6,1,2,8,1,2,0,1,2,77,50,5,1,25,auto,attacker,0.835,0.411,defender
B0018,Mareth Imperium,Orenthal League,river_crossing,clear,5,2,3,0,0,4,3,6,9,2,4,2,2,2,0,0,3,3,75,70,52,0,0,auto,attacker,0.649,0.368,defender
B0019,Latian Republic,Orenthal League,river_crossing,clear,2,0,5,7,0,0,2,0,1,1,2,1,0,10,4,1,5,4,79,43,38,0,0,auto,defender,0.733,0.323,defender
B0020,Latian Republic,Vharn Confederacy,plains,rain,9,3,4,2,2,0,2,5,9,6,1,6,0,0,1,0,4,2,72,58,4,0,0,auto,attacker,0.808,0.442,defender
B0021,Vharn Confederacy,Duskwood Clans,forest,fog,1,10,2,3,1,4,4,0,6,2,2,0,8,3,1,2,1,1,71,81,42,1,0,manual,attacker,0.471,0.795,attacker
B0022,Selene Dominion,Duskwood Clans,plains,clear,1,4,0,3,6,1,3,3,0,2,1,2,3,2,7,4,2,2,67,74,59,0,23,manual,attacker,0.748,0.464,defender
B0023,Selene Dominion,Vharn Confederacy,forest,fog,1,0,2,7,0,5,6,3,5,10,0,2,1,5,1,0,3,3,55,77,15,0,0,auto,attacker,0.744,0.414,defender
B0024,Kessari Riders,Orenthal League,hills,clear,1,0,0,0,1,10,10,3,1,5,4,3,6,3,0,2,4,1,57,91,36,0,0,auto,attacker,0.521,0.663,attacker
B0025,Kessari Riders,Sable Nomads,forest,rain,0,1,0,4,2,3,1,12,4,0,0,6,2,5,0,4,3,3,85,71,72,0,13,manual,attacker,0.335,0.827,attacker
B0026,Sable Nomads,Kessari Riders,river_crossing,clear,1,1,0,5,2,7,5,3,6,3,1,5,3,0,1,2,1,3,93,63,34,1,9,auto,attacker,0.435,0.929,attacker
B0027,Selene Dominion,Latian Republic,marsh,clear,0,3,5,7,6,3,0,2,8,2,1,2,1,0,11,0,1,2,100,72,27,0,11,manual,attacker,0.837,0.395,defender
B0028,Mareth Imperium,Selene Dominion,plains,clear,5,3,0,2,7,1,1,0,0,2,0,9,2,1,2,2,3,4,86,71,33,0,15,auto,attacker,0.513,0.72,attacker
B0029,Orenthal League,Selene Dominion,river_crossing,clear,2,8,11,2,0,1,2,0,1,8,0,1,3,0,0,4,4,4,98,48,30,0,17,auto,attacker,0.368,0.725,attacker
B0030,Duskwood Clans,Selene Dominion,hills,clear,0,1,1,4,11,3,0,1,2,3,1,10,1,3,2,2,3,4,64,50,30,0,0,manual,defender,0.794,0.492,defender
B0031,Kessari Riders,Orenthal League,plains,fog,0,1,2,0,0,2,12,5,6,0,2,9,1,2,1,2,1,3,59,40,51,1,0,auto,defender,0.417,0.704,attacker
B0032,Duskwood Clans,Mareth Imperium,marsh,fog,0,0,3,0,7,1,10,1,4,4,0,5,2,2,6,1,4,3,80,78,8,0,0,auto,attacker,0.856,0.355,defender
B0033,Latian Republic,Mareth Imperium,hills,rain,9,4,6,3,3,0,0,0,7,0,3,1,2,3,2,2,5,5,64,64,45,0,0,auto,attacker,0.49,0.767,attacker
B0034,Latian Republic,Orenthal League,forest,clear,7,4,4,0,0,2,0,3,0,3,4,12,6,1,0,0,1,2,87,55,74,0,19,auto,defender,0.805,0.477,defender
B0035,Orenthal League,Vharn Confederacy,plains,rain,2,2,1,8,0,4,1,1,5,4,0,6,2,4,0,0,5,5,71,81,23,0,0,auto,defender,0.381,0.843,attacker
B0036,Vharn Confederacy,Mareth Imperium,plains,clear,2,9,0,4,2,3,0,3,8,2,3,2,2,0,2,3,2,2,49,57,45,0,18,auto,attacker,0.483,0.839,attacker
B0037,Kessari Riders,Orenthal League,plains,rain,1,1,1,2,8,3,7,1,8,5,0,1,5,3,0,3,2,4,58,85,11,0,10,auto,attacker,0.509,0.87,attacker
B0038,Orenthal League,Selene Dominion,plains,clear,2,1,9,9,0,0,2,0,1,6,7,2,3,0,3,0,3,2,82,53,77,0,0,manual,attacker,0.48,0.776,attacker
B0039,Latian Republic,Duskwood Clans,plains,rain,7,5,5,1,1,0,0,3,3,1,5,5,4,8,0,0,5,2,100,100,48,1,0,manual,defender,0.663,0.394,defender
B0040,Kessari Riders,Latian Republic,plains,fog,1,0,1,0,4,8,8,0,6,2,3,3,1,2,0,4,4,3,55,56,54,1,0,manual,attacker,0.48,0.759,attacker
B0041,Kessari Riders,Selene Dominion,forest,rain,0,0,1,0,6,12,11,0,0,0,1,4,0,0,14,11,3,5,90,66,0,0,0,manual,attacker,0.3,0.727,attacker
B0042,Vharn Confederacy,Kessari Riders,hills,clear,2,8,3,9,7,0,0,1,0,2,3,2,1,3,5,2,3,1,78,85,1,0,0,auto,attacker,0.271,0.798,attacker
B0043,Vharn Confederacy,Sable Nomads,marsh,clear,11,4,1,0,1,3,2,0,0,0,0,7,9,6,0,1,5,4,64,53,56,0,0,auto,attacker,0.477,0.616,attacker
B0044,Vharn Confederacy,Latian Republic,plains,rain,4,4,2,4,0,6,7,0,4,2,5,0,0,2,4,5,4,4,100,54,7,0,0,manual,attacker,0.349,0.695,attacker
B0045,Mareth Imperium,Vharn Confederacy,river_crossing,fog,6,1,1,0,3,0,7,0,5,3,0,3,0,3,0,5,3,2,82,49,58,0,0,auto,attacker,0.852,0.58,defender
B0046,Kessari Riders,Duskwood Clans,plains,fog,1,1,0,1,1,8,10,1,2,0,6,3,4,4,1,0,5,3,64,67,45,0,13,manual,attacker,0.298,0.615,attacker
B0047,Sable Nomads,Latian Republic,plains,clear,0,1,1,5,7,5,2,3,9,8,2,0,2,1,0,1,5,3,74,64,25,0,0,auto,attacker,0.557,0.565,defender
B0048,Vharn Confederacy,Kessari Riders,forest,clear,6,8,0,1,0,2,2,1,5,14,1,0,0,1,5,2,3,4,60,73,93,0,9,auto,defender,0.787,0.434,defender
B0049,Latian Republic,Kessari Riders,river_crossing,rain,2,3,10,0,5,0,2,1,3,0,0,0,1,7,12,0,3,1,80,65,42,0,0,manual,attacker,0.778,0.362,defender
